number,value,params_drop_conv2,params_drop_fc1,params_lr,params_num_conv_layers,params_num_filter_0,params_num_filter_1,params_num_filter_2,params_num_neurons,params_optimizer
1,0.47107438016528924,0.24133704043125453,0.43207855637093395,0.00227579514167953,3,32.0,32.0,112.0,80,Adam
15,0.5289256198347108,0.45171976676422765,0.21487395664925146,0.009088337856819947,3,64.0,64.0,48.0,90,Adam
10,0.6088154269972452,0.2562795833203745,0.3261472900666459,1.1204845734999912e-05,3,64.0,80.0,32.0,220,Adam
20,0.6115702479338843,0.24553023259036147,0.24412672217715758,2.60800494424205e-05,3,80.0,48.0,48.0,190,Adam
14,0.6460055096418733,0.39304046746269694,0.30976609092021395,0.00013823832285453792,3,32.0,96.0,16.0,40,Adam
12,0.6515151515151515,0.4504106115102513,0.34147905268230405,0.00038191666722461914,3,96.0,112.0,112.0,210,Adam
22,0.6515151515151515,0.3256464467904161,0.23513740357671206,0.0006856259473165022,3,80.0,32.0,64.0,150,Adam
17,0.6570247933884298,0.21124183666977484,0.29554840041257524,6.0272339412000866e-05,3,96.0,48.0,128.0,130,Adam
21,0.6666666666666666,0.35213701097849404,0.20641194458706474,9.74180133852453e-05,3,64.0,96.0,112.0,260,Adam
